Parent mesh: 480 elements, 623 vertices
Cylinder submesh: NE=288 NV=399 ndofs=2717 bdr_attrs=6..9
Cylinder ess vdofs: 593
Block submesh: NE=192 NV=336 ndofs=2080 bdr_attrs=1..9
Block ess vdofs (walls 1-4): 416
Block initial BC dofs (nonzero): 416
step 370, t = 0.007399999999999867  block: sum=6.654965e2 min=-2.394769e-2 max=1.000000e0  cyl: sum=-1.331982e0 min=-2.394769e-2 max=2.104684e-2
step 380, t = 0.007599999999999859  block: sum=6.711405e2 min=-2.344576e-2 max=1.000000e0  cyl: sum=-1.242822e0 min=-2.344576e-2 max=2.055730e-2
step 390, t = 0.0077999999999998505  block: sum=6.767417e2 min=-2.287938e-2 max=1.000000e0  cyl: sum=-1.132936e0 min=-2.287938e-2 max=2.008362e-2
step 400, t = 0.007999999999999842  block: sum=6.823018e2 min=-2.239772e-2 max=1.000000e0  cyl: sum=-1.001454e0 min=-2.239772e-2 max=1.992882e-2
step 410, t = 0.008199999999999834  block: sum=6.878224e2 min=-2.205906e-2 max=1.000000e0  cyl: sum=-8.476121e-1 min=-2.205906e-2 max=2.033959e-2
step 420, t = 0.008399999999999826  block: sum=6.933049e2 min=-2.171369e-2 max=1.000000e0  cyl: sum=-6.707540e-1 min=-2.171369e-2 max=2.081841e-2
step 430, t = 0.008599999999999818  block: sum=6.987507e2 min=-2.135773e-2 max=1.000000e0  cyl: sum=-4.703152e-1 min=-2.135773e-2 max=2.136538e-2
step 440, t = 0.00879999999999981  block: sum=7.041611e2 min=-2.098754e-2 max=1.000000e0  cyl: sum=-2.458180e-1 min=-2.098754e-2 max=2.198032e-2
step 450, t = 0.008999999999999802  block: sum=7.095371e2 min=-2.059976e-2 max=1.000000e0  cyl: sum=3.136555e-3 min=-2.094503e-2 max=2.266281e-2
step 460, t = 0.009199999999999793  block: sum=7.148800e2 min=-2.019128e-2 max=1.000000e0  cyl: sum=2.768752e-1 min=-2.103860e-2 max=2.341223e-2
step 470, t = 0.009399999999999785  block: sum=7.201907e2 min=-1.975923e-2 max=1.000000e0  cyl: sum=5.756591e-1 min=-2.111923e-2 max=2.422778e-2
step 480, t = 0.009599999999999777  block: sum=7.254701e2 min=-1.930101e-2 max=1.000000e0  cyl: sum=8.996895e-1 min=-2.124693e-2 max=2.510850e-2
step 490, t = 0.009799999999999769  block: sum=7.307193e2 min=-1.881423e-2 max=1.000000e0  cyl: sum=1.249113e0 min=-2.141789e-2 max=2.605331e-2
step 500, t = 0.00999999999999976  block: sum=7.359389e2 min=-1.829671e-2 max=1.000000e0  cyl: sum=1.624027e0 min=-2.158004e-2 max=2.706103e-2
step 510, t = 0.010199999999999753  block: sum=7.411297e2 min=-1.774652e-2 max=1.000000e0  cyl: sum=2.024484e0 min=-2.173370e-2 max=2.813038e-2
step 520, t = 0.010399999999999745  block: sum=7.462925e2 min=-1.716190e-2 max=1.000000e0  cyl: sum=2.450496e0 min=-2.187917e-2 max=2.926001e-2
step 530, t = 0.010599999999999736  block: sum=7.514280e2 min=-1.654131e-2 max=1.000000e0  cyl: sum=2.902037e0 min=-2.201674e-2 max=3.044852e-2
step 540, t = 0.010799999999999728  block: sum=7.565368e2 min=-1.588336e-2 max=1.000000e0  cyl: sum=3.379049e0 min=-2.214664e-2 max=3.169446e-2
